A Kumble,Harbhajan Singh,1,0,0,0,0,0,1,2,0
A Kumble,Harmeet Singh,1,0,0,0,0,0,1,2,0
A Kumble,IK Pathan,2,0,0,1,0,0,6,6,0
A Kumble,JA Morkel,0,1,0,0,0,0,2,1,0
A Kumble,M Muralitharan,0,0,0,0,0,0,0,3,0
A Kumble,PP Chawla,1,0,0,0,0,0,1,4,0
A Kumble,R McLaren,1,0,0,0,0,0,1,3,0
A Kumble,RA Jadeja,2,0,0,0,0,0,2,3,0
A Kumble,RJ Harris,1,0,0,0,0,0,1,2,0
A Kumble,RP Singh,2,0,0,0,0,0,2,2,0
A Kumble,SK Warne,1,0,0,1,0,0,5,3,0
A Kumble,SL Malinga,1,0,0,0,0,0,1,1,0
A Kumble,Sohail Tanvir,1,0,0,0,0,0,1,2,1
A Kumble,VRV Singh,2,0,0,0,0,0,2,3,0
A Kumble,YA Abdulla,0,0,0,0,0,0,0,2,1
A Mishra,A Nehra,1,1,0,0,0,0,3,3,0
A Mishra,A Singh,2,0,0,0,0,0,2,2,0
A Mishra,A Symonds,0,0,0,0,0,0,0,1,1
A Mishra,AB Agarkar,3,0,0,0,0,0,3,5,0
A Mishra,AB Dinda,8,1,0,2,0,0,18,15,0
A Mishra,AD Mathews,6,0,0,0,0,0,6,8,0
A Mishra,AG Murtaza,3,0,0,0,0,0,3,3,0
A Mishra,AN Ahmed,3,0,0,0,0,0,3,4,0
A Mishra,Azhar Mahmood,3,0,0,1,0,0,7,4,0
A Mishra,B Lee,2,0,0,0,0,0,2,2,0
A Mishra,CH Morris,1,1,0,0,0,0,3,5,0
A Mishra,CRD Fernando,3,0,0,0,0,0,3,4,1
A Mishra,D Wiese,1,0,0,0,0,0,1,1,0
A Mishra,DE Bollinger,0,1,0,0,0,0,2,5,1
A Mishra,DJ Bravo,2,0,0,0,0,0,2,2,0
A Mishra,DS Kulkarni,2,0,0,0,0,0,2,4,0
A Mishra,GB Hogg,1,0,0,0,0,0,1,6,1
A Mishra,Harbhajan Singh,6,0,0,1,0,0,10,9,0
A Mishra,Harmeet Singh,0,0,0,0,0,0,0,1,1
A Mishra,I Sharma,1,0,0,0,0,0,1,3,0
A Mishra,IK Pathan,3,2,0,0,0,0,7,7,0
A Mishra,Iqbal Abdulla,5,0,0,2,0,0,13,9,0
A Mishra,J Theron,3,0,0,0,0,0,3,4,0
A Mishra,JA Morkel,1,0,0,0,0,0,1,2,0
A Mishra,JD Unadkat,1,0,0,0,0,1,7,3,0
A Mishra,JH Kallis,3,2,0,0,0,0,7,8,0
A Mishra,JJ Bumrah,0,0,0,0,0,0,0,2,1
A Mishra,JO Holder,1,1,0,2,0,0,11,10,0
A Mishra,JP Duminy,0,1,0,1,0,1,12,3,0
A Mishra,JP Faulkner,0,0,0,0,0,0,0,3,1
A Mishra,KA Pollard,4,0,0,0,0,0,4,10,1
A Mishra,Kamran Khan,0,0,0,0,0,0,0,1,1
A Mishra,KK Cooper,3,0,0,0,0,0,3,8,0
A Mishra,L Ablish,3,0,0,0,0,0,3,4,0
A Mishra,L Balaji,3,1,0,3,0,1,23,14,0
A Mishra,LR Shukla,0,0,0,0,0,0,0,1,1
A Mishra,M Morkel,4,2,0,1,0,0,12,11,0
