V Pratap Singh,9,211,10,289,28.9
V Sehwag,15,138,6,233,38.8333
V Shankar,1,6,0,19,19
VR Aaron,34,775,31,997,32.1613
VRV Singh,18,371,12,531,44.25
VS Malik,13,212,6,254,42.3333
VS Yeligati,2,32,0,53,53
VY Mahesh,17,359,21,478,22.7619
WA Mota,7,75,4,94,23.5
WD Parnell,26,601,27,651,24.1111
WPUJC Vaas,13,288,18,345,19.1667
Y Gnaneswara Rao,1,6,0,7,7
Y Nagar,8,72,4,117,29.25
Y Venugopal Rao,20,222,6,329,54.8333
YA Abdulla,11,222,15,294,19.6
YK Pathan,76,1142,40,1309,32.725
YS Chahal,43,972,57,1246,21.8596
Yuvraj Singh,69,857,35,1020,29.1429
Z Khan,88,2030,93,2383,25.6237
