P Sahu,2,19,146.154,13,9.5,0
PA Patel,100,1927,109.989,1752,19.27,81
PA Reddy,10,164,98.2036,167,16.4,9
Pankaj Singh,5,7,58.3333,12,1.4,2
Parvez Rasool,4,17,85,20,4.25,2
PC Valthaty,23,505,116.898,432,21.9565,21
PD Collingwood,7,203,127.673,159,29,3
PJ Cummins,1,0,0,2,0,1
PJ Sangwan,9,22,68.75,32,2.44444,3
PM Sarvesh Kumar,1,1,50,2,1,0
PP Chawla,64,513,111.28,461,8.01562,35
PP Ojha,19,16,35.5556,45,0.842105,8
PR Shah,9,92,94.8454,97,10.2222,8
PSP Handscomb,1,6,50,12,6,1
PV Tambe,6,18,46.1538,39,3,1
Q de Kock,26,726,128.269,566,27.9231,24
R Ashwin,36,231,93.9024,246,6.41667,18
R Bhatia,46,326,119.414,273,7.08696,24
R Bishnoi,3,19,111.765,17,6.33333,2
R Dhawan,16,153,113.333,135,9.5625,6
R Dravid,82,2174,113.347,1918,26.5122,71
R McLaren,13,159,89.3258,178,12.2308,6
R Ninan,1,3,50,6,3,1
R Rampaul,7,51,98.0769,52,7.28571,5
R Sathish,24,270,114.407,236,11.25,14
R Sharma,19,66,85.7143,77,3.47368,10
R Shukla,4,19,82.6087,23,4.75,1
R Tewatia,1,16,123.077,13,16,1
R Vinay Kumar,41,304,106.667,285,7.41463,24
RA Jadeja,98,1574,117.463,1340,16.0612,65
RE Levi,6,83,112.162,74,13.8333,6
RE van der Merwe,15,159,110.417,144,10.6,10
RG More,1,2,100,2,2,0
RG Sharma,137,3874,129.306,2996,28.2774,106
RJ Harris,21,117,104.464,112,5.57143,12
RJ Peterson,5,32,100,32,6.4,1
RJ Quiney,7,103,98.0952,105,14.7143,7
RN ten Doeschate,21,326,136.975,238,15.5238,12
RP Singh,28,52,66.6667,78,1.85714,11
RR Bhatkal,1,0,0,2,0,1
RR Pant,10,198,127.742,155,19.8,6
RR Powar,9,67,104.688,64,7.44444,2
RR Raje,5,20,111.111,18,4,1
RR Rossouw,5,53,103.922,51,10.6,5
RR Sarwan,4,73,93.5897,78,18.25,3
RS Bopara,22,531,113.462,468,24.1364,17
RS Gavaskar,1,2,25,8,2,1
RS Sodhi,1,4,200,2,4,0
RT Ponting,9,91,70.5426,129,10.1111,8
RV Gomez,9,50,94.3396,53,5.55556,5
RV Uthappa,130,3390,124.587,2721,26.0769,109
S Anirudha,12,136,112.397,121,11.3333,8
S Aravind,4,27,142.105,19,6.75,0
S Badrinath,65,1441,115.743,1245,22.1692,43
S Chanderpaul,3,25,75.7576,33,8.33333,3
S Dhawan,113,3110,117.447,2648,27.5221,84
S Gopal,3,14,51.8519,27,4.66667,1
S Kaul,2,9,81.8182,11,4.5,0
S Kaushik,1,0,0,1,0,1
S Ladda,2,0,0,10,0,0
S Nadeem,13,24,38.7097,62,1.84615,7
S Narwal,4,37,127.586,29,9.25,3
S Rana,8,91,110.976,82,11.375,4
S Randiv,1,2,50,4,2,1
S Sohal,20,368,118.328,311,18.4,17
S Sreesanth,12,34,59.6491,57,2.83333,3
S Sriram,2,31,81.5789,38,15.5,2
S Tyagi,1,3,75,4,3,0
S Vidyut,8,145,126.087,115,18.125,8
SA Abbott,2,15,115.385,13,7.5,1
SA Asnodkar,19,423,120.17,352,22.2632,14
SA Yadav,35,503,129.306,389,14.3714,22
Sachin Baby,8,140,141.414,99,17.5,4
Salman Butt,7,193,112.209,172,27.5714,7
Sandeep Sharma,8,19,67.8571,28,2.375,1
Sandeep Sharma (1),1,0,0,1,0,0
SB Bangar,7,49,84.4828,58,7,5
SB Jakati,5,28,93.3333,30,5.6,1
SB Joshi,2,6,37.5,16,3,1
SB Styris,10,131,97.7612,134,13.1,7
SB Wagh,2,2,66.6667,3,1,1
SC Ganguly,56,1349,101.735,1326,24.0893,51
SD Chitnis,8,99,107.609,92,12.375,6
SE Bond,1,1,50,2,1,1
SE Marsh,61,2213,129.415,1710,36.2787,51
Shahid Afridi,9,81,176.087,46,9,8
Shakib Al Hasan,31,497,124.874,398,16.0323,21
Shivam Sharma,2,5,166.667,3,2.5,1
Shoaib Ahmed,3,1,16.6667,6,0.333333,1
Shoaib Akhtar,1,2,25,8,2,1
Shoaib Malik,5,52,106.122,49,10.4,4
SJ Srivastava,4,5,100,5,1.25,1
SK Raina,143,4098,134.097,3056,28.6573,112
SK Trivedi,14,42,68.8525,61,3,7
SK Warne,27,198,90.411,219,7.33333,15
SL Malinga,18,81,81,100,4.5,10
SM Harwood,2,9,64.2857,14,4.5,0
SM Katich,11,241,126.178,191,21.9091,8
SM Pollock,8,147,126.724,116,18.375,8
SMSM Senanayake,4,10,58.8235,17,2.5,0
SN Khan,11,177,171.845,103,16.0909,5
SN Thakur,1,7,116.667,6,7,0
Sohail Tanvir,5,36,116.129,31,7.2,3
SP Fleming,10,196,114.62,171,19.6,8
SP Goswami,16,241,92.6923,260,15.0625,14
SP Narine,16,47,81.0345,58,2.9375,5
SPD Smith,47,1231,132.651,928,26.1915,31
SR Tendulkar,78,2334,114.188,2044,29.9231,63
SR Watson,92,2562,136.713,1874,27.8478,72
SS Iyer,20,469,115.517,406,23.45,19
SS Shaikh,1,6,85.7143,7,6,0
SS Tiwary,63,1224,114.93,1065,19.4286,41
ST Jayasuriya,30,768,134.031,573,25.6,27
STR Binny,50,697,126.958,549,13.94,28
Sunny Gupta,1,0,0,1,0,1
Sunny Singh,5,43,138.71,31,8.6,3
SV Samson,48,1040,116.854,890,21.6667,40
SW Billings,4,88,133.333,66,22,4
SW Tait,5,23,88.4615,26,4.6,3
Swapnil Singh,1,0,0,1,0,1
T Henderson,2,11,68.75,16,5.5,1
T Kohli,3,11,55,20,3.66667,2
T Taibu,3,31,119.231,26,10.3333,2
T Thushara,4,12,63.1579,19,3,1
TD Paine,2,10,34.4828,29,5,2
TG Southee,7,47,142.424,33,6.71429,3
TL Suman,39,676,115.162,587,17.3333,29
TM Dilshan,50,1153,110.124,1047,23.06,39
